zipcode,lat,lon
03801,43.07292,-70.8052
03809,43.45371,-71.21237
03810,43.52706,-71.28101
03811,42.83695,-71.16037
03812,44.0806,-71.29205
03813,44.09739,-71.04513
03814,43.76918,-71.18481
03816,43.68469,-71.25524
03817,43.88748,-71.23216
03818,43.97358,-71.25004
03819,42.92844,-71.12119
03820,43.18879,-70.88678
03823,43.17288,-70.94094
03824,43.11744,-70.91946
03825,43.21357,-71.04284
03826,42.88621,-71.13378
03827,42.90685,-70.98774
03830,43.63391,-71.00259
03832,43.90307,-71.04786
03833,42.97478,-70.9892
03835,43.36275,-71.07607
03836,43.82621,-71.07147
03837,43.42165,-71.32909
03838,44.11231,-71.24092
03839,43.26199,-70.98373
03840,43.03849,-70.84806
03841,42.88314,-71.1809
03842,42.93965,-70.83709
03844,42.92706,-70.88587
03845,44.10676,-71.125
03846,44.1853,-71.19065
03847,44.07005,-71.11317
03848,42.9156,-71.06651
03849,43.90045,-71.13378
03850,43.69273,-71.302
03851,43.4361,-71.01649
03852,43.4982,-70.97547
03853,43.63952,-71.27902
03854,43.06559,-70.72005
03855,43.46365,-71.14193
03856,43.03921,-70.96627
03857,43.06911,-70.95184
03858,42.8684,-71.04356
03860,44.04205,-71.11989
03861,43.11969,-71.00682
03862,42.97904,-70.83024
03864,43.69143,-71.10883
03865,42.84029,-71.09606
03867,43.30327,-70.98691
03868,43.32027,-70.94164
03869,43.22066,-70.84199
03870,43.0152,-70.76075
03871,42.98222,-70.77484
03872,43.56971,-71.04498
03873,42.93399,-71.1821
03874,42.88708,-70.86067
03875,43.89547,-71.18603
03878,43.25288,-70.88522
03882,43.74565,-71.0422
03883,43.80765,-71.30765
03884,43.2797,-71.14835
03885,43.01571,-70.90061
03886,43.86243,-71.28682
03887,43.48597,-71.06265
03890,43.80809,-71.19664
03894,43.61216,-71.17165
03901,43.30056,-70.84329
03902,43.22145,-70.63766
03903,43.14881,-70.78597
03904,43.11055,-70.73108
03905,43.08684,-70.68719
